role,privilege

'Anonymous','GetConcepts'

'Anonymous','ViewConcepts'

'Anonymous','ViewNavigationMenu'

'Authenticated','GetConceptClasses'

'Authenticated','GetConceptDatatypes'

'Authenticated','GetEncounterTypes'

'Authenticated','GetFieldTypes'

'Authenticated','GetIdentifierTypes'

'Authenticated','GetLocations'

'Authenticated','GetOrderTypes'

'Authenticated','GetPersonAttributeTypes'

'Authenticated','GetPrivileges'

'Authenticated','GetRelationshipTypes'

'Authenticated','GetRoles'

'Authenticated','ViewConceptClasses'

'Authenticated','ViewConceptDatatypes'

'Authenticated','ViewEncounterTypes'

'Authenticated','ViewFieldTypes'

'Authenticated','ViewIdentifierTypes'

'Authenticated','ViewLocations'

'Authenticated','ViewOrderTypes'

'Authenticated','ViewPersonAttributeTypes'

'Authenticated','ViewPrivileges'

'Authenticated','ViewRelationshipTypes'

'Authenticated','ViewRoles'