task_config_id,name,description,schedulable_class,start_time,start_time_pattern,repeat_interval,start_on_startup,started,created_by,date_created,changed_by,date_changed,uuid,last_execution_time

2,'ProcessHL7Task','ProcessesHL7messages.','org.openmrs.scheduler.tasks.ProcessHL7InQueueTask','2006-04-2400:00:00',NULL,30,1,1,1,'2006-04-2400:00:00',2,'2015-02-0810:18:00','6afc5ab7-1692-11df-97a5-7038c432aabf','2015-02-0810:18:00'

3,'AlertReminderTask','Sendsemailtouserswhohavenotcheckedtheiralerts.Settoruneverytenminutes.','org.openmrs.scheduler.tasks.AlertReminderTask','2006-04-2400:00:00',NULL,600,0,0,1,'2006-04-2400:00:00',NULL,NULL,'6afc5c85-1692-11df-97a5-7038c432aabf',NULL

4,'SendEmailTask','Doesn\'tdoanythingyet.','org.openmrs.scheduler.tasks.SendEmailTask','2006-04-2400:00:00',NULL,600,0,0,1,'2006-04-2400:00:00',NULL,NULL,'6afc5e0f-1692-11df-97a5-7038c432aabf',NULL

5,'HelloWorldTask','Writes\'helloworld\'tolog.Demonstratesproblemcausedbyspawningathreadfromatimertask.','org.openmrs.scheduler.tasks.HelloWorldTask','2006-04-2400:00:00',NULL,600,0,0,1,'2006-04-2400:00:00',NULL,NULL,'6afc5f98-1692-11df-97a5-7038c432aabf',NULL

6,'CheckInternetConnectivityTask','Checkstheexternalinternetconnectioneverytenminutes.ThisisatrivialtaskthatcheckstheconnectiontoGoogleoverport80.Iftheconnectionfails,weassumetheinternetisdoneandraiseanalert.','org.openmrs.scheduler.tasks.CheckInternetConnectivityTask','2006-04-2400:00:00',NULL,60,0,0,1,'2006-04-2400:00:00',NULL,NULL,'6afc611e-1692-11df-97a5-7038c432aabf',NULL

9,'AutoCloseVisitsTask','Stopsallactivevisitsthatmatchthevisitty

s)specifiedbythevalueoftheglobalproperty\'visits.autoCloseVisitType\'','org.openmrs.scheduler.tasks.AutoCloseVisitsTask','2011-11-2823:59:59','MM/dd/yyyyHH:mm:ss',86400,0,0,1,'2012-05-1517:59:38',NULL,NULL,'8c17b376-1a2b-11e1-a51a-00248140a5eb',NULL

10,'InitializeLogicRuleProviders',NULL,'org.openmrs.logic.task.InitializeLogicRuleProvidersTask','2014-11-2421:54:01',NULL,1999999999,0,1,2,'2014-11-2421:52:26',1,'2014-11-2421:54:03','60216eac-5cd9-41a9-a6e4-62179b879418',NULL